languageCode,createUserEmail,createDate,content,parentClass,key,modDate,modUserEmail,parentKey
en,system@vosao.org,2014-03-13T08:32:59,"<h1>
	Support</h1>
<p>
	This web site template is installed by default to clean Vosao CMS instance. If you find any bugs please create an issue on <a href=""http://code.google.com/p/vosao/issues/list"">project tracking system</a>.</p>
<p>
	If you have any questions please ask them on project <a href=""http://groups.google.com/group/vosao-cms-development"">Google Group</a>.</p>
",org.vosao.entity.PageEntity,11,2014-03-13T08:32:59,system@vosao.org,10014
en,system@vosao.org,2014-03-13T08:32:54,"<?xml version=""1.0"" encoding=""utf-8""?>
<content>
<overview><![CDATA[<p>
	<span class=""Apple-style-span"" style=""color: rgb(0, 0, 0); font-family: Arial, Helvetica, sans; font-size: 11px; line-height: 14px; ""><strong>Lorem Ipsum</strong></span><span class=""Apple-style-span"" style=""color: rgb(0, 0, 0); font-family: Arial, Helvetica, sans; font-size: 11px; line-height: 14px; "">&nbsp;is simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the industry's standard dummy text ever since the 1500s, when an unknown printer took a galley of type and scrambled it to make a type specimen book. It has survived not only five centuries, but also the leap into electronic typesetting, remaining essentially unchanged. It was popularised in the 1960s with the release of Letraset sheets containing Lorem Ipsum passages, and more recently with desktop publishing software like Aldus PageMaker including versions of Lorem Ipsum.</span></p>
]]></overview>
<content><![CDATA[]]></content>
</content>",org.vosao.entity.PageEntity,10011,2014-03-13T08:32:54,system@vosao.org,80012
en,system@vosao.org,2014-03-13T08:32:55,"<?xml version=""1.0"" encoding=""utf-8""?>
<content>
<overview><![CDATA[<p>
	<span class=""Apple-style-span"" style=""color: rgb(0, 0, 0); font-family: Arial, Helvetica, sans; font-size: 11px; line-height: 14px; ""><strong>Lorem Ipsum</strong></span><span class=""Apple-style-span"" style=""color: rgb(0, 0, 0); font-family: Arial, Helvetica, sans; font-size: 11px; line-height: 14px; "">&nbsp;is simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the industry's standard dummy text ever since the 1500s, when an unknown printer took a galley of type and scrambled it to make a type specimen book. It has survived not only five centuries, but also the leap into electronic typesetting, remaining essentially unchanged. It was popularised in the 1960s with the release of Letraset sheets containing Lorem Ipsum passages, and more recently with desktop publishing software like Aldus PageMaker including versions of Lorem Ipsum.</span></p>
]]></overview>
<content><![CDATA[]]></content>
</content>",org.vosao.entity.PageEntity,10012,2014-03-13T08:32:55,system@vosao.org,80013
en,system@vosao.org,2014-03-13T08:32:56,"<?xml version=""1.0"" encoding=""utf-8""?>
<content>
<overview><![CDATA[<p>
	<span class=""Apple-style-span"" style=""color: rgb(0, 0, 0); font-family: Arial, Helvetica, sans; font-size: 11px; line-height: 14px; ""><strong>Lorem Ipsum</strong></span><span class=""Apple-style-span"" style=""color: rgb(0, 0, 0); font-family: Arial, Helvetica, sans; font-size: 11px; line-height: 14px; "">&nbsp;is simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the industry's standard dummy text ever since the 1500s, when an unknown printer took a galley of type and scrambled it to make a type specimen book. It has survived not only five centuries, but also the leap into electronic typesetting, remaining essentially unchanged. It was popularised in the 1960s with the release of Letraset sheets containing Lorem Ipsum passages, and more recently with desktop publishing software like Aldus PageMaker including versions of Lorem Ipsum.</span></p>
]]></overview>
<content><![CDATA[]]></content>
</content>",org.vosao.entity.PageEntity,10013,2014-03-13T08:32:56,system@vosao.org,80014
en,guest,2014-03-13T08:32:34,"<div id=""login-form"">
    <form>
        <h3>Sign in with your site user account</h3>
        <div>
            <label>Email</label>
            <input type=""text"" id=""loginEmail"" />
        </div>
        <div>
            <label>Password</label>
            <input type=""password"" id=""loginPassword"" />
        </div>
        <div id=""login-messages""> </div>
        <div>
            <input type=""button"" value=""Login"" onclick=""onLogin()"" />
        </div>    
    </form>
</div>

<div style=""clear:both""> </div>

<script type=""text/javascript"">
        function onLogin() {
            var email = $('#loginEmail').val();
            var password = $('#loginPassword').val();
            if (email == '') {
            	Vosao.errorMessage('#login-messages', 'Email is empty!');
            }
            else {
            	Vosao.jsonrpc.loginFrontService.login(function (r, e) {
                    if (Vosao.serviceFailed(e)) return;
                    if (r.result == 'success') {
                        $('#login-messages').html('<span style=""color:green"">Success. Logging in...</span>');
                        document.location.href = r.message;
                    }
                    else {
                        $('#login-messages').html('<span style=""color:red"">' 
                                + r.message + '</span>');
                    }
                }, email, password);
            }                
        }
</script>
",org.vosao.entity.PageEntity,30003,2014-03-13T08:32:58,system@vosao.org,20002
en,system@vosao.org,2014-03-13T08:32:59,"#set ($startYear = 2010)
#set ($endYear = $date.year)
#set ($year = $date.year)
#set ($month = $date.month)
#set ($yearParam = $request.getParameter(""year""))
#set ($monthParam = $request.getParameter(""month""))
#if ($yearParam)
  #set ($year = $math.toInteger($yearParam))
#end
#if ($monthParam)
  #set ($month = $math.toInteger($monthParam))
#end
#set ($yearMonth = $month + 1)
#set ($cal = $date.getCalendar())
$cal.set($year, $month, 1)

<h2>Archives $date.format('MMMM yyyy', $cal.time)</h2>
<ul id=""years"">
#foreach($y in [$startYear..$endYear])
<li><a href=""#"" class=""more"">$y</a>
  <ul>
    <li><a href=""?year=$y&month=0"">January 01</a></li>
    <li><a href=""?year=$y&month=1"">February 02</a></li>
    <li><a href=""?year=$y&month=2"">March 03</a></li>
    <li><a href=""?year=$y&month=3"">April 04</a></li>
    <li><a href=""?year=$y&month=4"">May 05</a></li>
    <li><a href=""?year=$y&month=5"">June 06</a></li>
    <li><a href=""?year=$y&month=6"">July 07</a></li>
    <li><a href=""?year=$y&month=7"">August 08</a></li>
    <li><a href=""?year=$y&month=8"">September 09</a></li>
    <li><a href=""?year=$y&month=9"">October 10</a></li>
    <li><a href=""?year=$y&month=10"">November 11</a></li>
    <li><a href=""?year=$y&month=11"">December 12</a></li>
  </ul>
</li>
#end
</ul>

<ul class=""archive"">
	#foreach($p in ${service.findPageChildrenMonth(""/blog"", $year, $yearMonth)})
	<li>
		<div class=""post-title"">
			<a href=""$p.friendlyURL"">$p.title</a></div>
		<div class=""post-details"">
			Posted on <a href=""#"">${date.format('MMMM dd, yyyy', $p.publishDate)}</a></div>
	</li>
	#end
</ul>
",org.vosao.entity.PageEntity,30008,2014-03-13T08:32:59,system@vosao.org,20010
en,guest,2014-03-13T08:32:33,"<h1>Welcome to Vosao CMS default site!</h1>
 
<p>This is a site root page</p><p><a href=""/cms/index.vm"">CMS Configuration</a></p>
<p>Admin user : admin@test.com</p>
<p>Admin password: admin</p>

<p>This is automatically generated root page for your site. You can change it in 
cms configuration area.</p>

<form id=""searchForm"">
    <input type=""text"" id=""query""/>
    <input type=""submit"" value=""Search""/>
</form>

<p>Good luck!</p>
<p>Vosao CMS team.</p>


<script type=""text/javascript"">

$(function() {
	$('#searchForm').submit(function(){onSearch(); return false;});
});

function onSearch() {
	var query = $('#query').val();
	if (query) {
	    location.href = '/search?query=' + query;
	}
}

</script>
",org.vosao.entity.PageEntity,50002,2014-03-13T08:33:00,system@vosao.org,30002
en,system@vosao.org,2014-03-13T08:32:55,"<?xml version=""1.0"" encoding=""utf-8""?>
<content>
<overview><![CDATA[<p>
	<span class=""Apple-style-span"" style=""color: rgb(0, 0, 0); font-family: Arial, Helvetica, sans; font-size: 11px; line-height: 14px; ""><strong>Lorem Ipsum</strong></span><span class=""Apple-style-span"" style=""color: rgb(0, 0, 0); font-family: Arial, Helvetica, sans; font-size: 11px; line-height: 14px; "">&nbsp;is simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the industry's standard dummy text ever since the 1500s, when an unknown printer took a galley of type and scrambled it to make a type specimen book. It has survived not only five centuries, but also the leap into electronic typesetting, remaining essentially unchanged. It was popularised in the 1960s with the release of Letraset sheets containing Lorem Ipsum passages, and more recently with desktop publishing software like Aldus PageMaker including versions of Lorem Ipsum.</span></p>
]]></overview>
<content><![CDATA[]]></content>
</content>",org.vosao.entity.PageEntity,60010,2014-03-13T08:32:55,system@vosao.org,50008
en,system@vosao.org,2014-03-13T08:32:56,"<?xml version=""1.0"" encoding=""utf-8""?>
<content>
<overview><![CDATA[<p>
	<span class=""Apple-style-span"" style=""color: rgb(0, 0, 0); font-family: Arial, Helvetica, sans; font-size: 11px; line-height: 14px; ""><strong>Lorem Ipsum</strong></span><span class=""Apple-style-span"" style=""color: rgb(0, 0, 0); font-family: Arial, Helvetica, sans; font-size: 11px; line-height: 14px; "">&nbsp;is simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the industry's standard dummy text ever since the 1500s, when an unknown printer took a galley of type and scrambled it to make a type specimen book. It has survived not only five centuries, but also the leap into electronic typesetting, remaining essentially unchanged. It was popularised in the 1960s with the release of Letraset sheets containing Lorem Ipsum passages, and more recently with desktop publishing software like Aldus PageMaker including versions of Lorem Ipsum.</span></p>
]]></overview>
<content><![CDATA[]]></content>
</content>",org.vosao.entity.PageEntity,60011,2014-03-13T08:32:56,system@vosao.org,50009
en,system@vosao.org,2014-03-13T08:32:57,"<?xml version=""1.0"" encoding=""utf-8""?>
<content>
<overview><![CDATA[<p>
	<span class=""Apple-style-span"" style=""color: rgb(0, 0, 0); font-family: Arial, Helvetica, sans; font-size: 11px; line-height: 14px; ""><strong>Lorem Ipsum</strong></span><span class=""Apple-style-span"" style=""color: rgb(0, 0, 0); font-family: Arial, Helvetica, sans; font-size: 11px; line-height: 14px; "">&nbsp;is simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the industry's standard dummy text ever since the 1500s, when an unknown printer took a galley of type and scrambled it to make a type specimen book. It has survived not only five centuries, but also the leap into electronic typesetting, remaining essentially unchanged. It was popularised in the 1960s with the release of Letraset sheets containing Lorem Ipsum passages, and more recently with desktop publishing software like Aldus PageMaker including versions of Lorem Ipsum.</span></p>
]]></overview>
<content><![CDATA[]]></content>
</content>",org.vosao.entity.PageEntity,60012,2014-03-13T08:32:57,system@vosao.org,50010
