identifier,folder_name,folder_title,folder_createDate,folder_parentId,folder_createUserEmail,folder_modDate,folder_modUserEmail
100002,coolblue10,coolblue10,Thu Mar 13 09:32:41 CET 2014,40001,system@vosao.org,Thu Mar 13 09:32:41 CET 2014,system@vosao.org
10002,form,form,Thu Mar 13 09:32:33 CET 2014,30001,guest,Thu Mar 13 09:32:33 CET 2014,guest
10010,aliquam-risus-justo,aliquam-risus-justo,Thu Mar 13 09:32:51 CET 2014,70010,system@vosao.org,Thu Mar 13 09:32:51 CET 2014,system@vosao.org
110007,congratulations,congratulations,Thu Mar 13 09:32:52 CET 2014,70010,system@vosao.org,Thu Mar 13 09:32:52 CET 2014,system@vosao.org
120002,images,images,Thu Mar 13 09:32:43 CET 2014,100002,system@vosao.org,Thu Mar 13 09:32:43 CET 2014,system@vosao.org
120012,lorem-ipsum-dolor-sit-amet,lorem-ipsum-dolor-sit-amet,Thu Mar 13 09:32:53 CET 2014,70010,system@vosao.org,Thu Mar 13 09:32:53 CET 2014,system@vosao.org
120017,login,login,Thu Mar 13 09:32:58 CET 2014,90001,system@vosao.org,Thu Mar 13 09:32:58 CET 2014,system@vosao.org
30001,/,file,Thu Mar 13 09:32:32 CET 2014,,guest,Thu Mar 13 09:32:39 CET 2014,system@vosao.org
40001,theme,Themes resources,Thu Mar 13 09:32:32 CET 2014,30001,guest,Thu Mar 13 09:32:40 CET 2014,system@vosao.org
50001,simple,Simple,Thu Mar 13 09:32:32 CET 2014,40001,guest,Thu Mar 13 09:32:40 CET 2014,system@vosao.org
70001,tmp,tmp,Thu Mar 13 09:32:33 CET 2014,30001,guest,Thu Mar 13 09:32:33 CET 2014,guest
70010,blog,blog,Thu Mar 13 09:32:51 CET 2014,90001,system@vosao.org,Thu Mar 13 09:32:51 CET 2014,system@vosao.org
80002,css,css,Thu Mar 13 09:32:41 CET 2014,100002,system@vosao.org,Thu Mar 13 09:32:41 CET 2014,system@vosao.org
80015,search,search,Thu Mar 13 09:32:58 CET 2014,90001,system@vosao.org,Thu Mar 13 09:32:58 CET 2014,system@vosao.org
90001,page,page,Thu Mar 13 09:32:33 CET 2014,30001,guest,Thu Mar 13 09:32:51 CET 2014,system@vosao.org
