"Id","OwnerId","IsDeleted","Name","CreatedDate","CreatedById","LastModifiedDate","LastModifiedById","SystemModstamp","page_skipPostProcessing__c","page_modDate__c","page_createDate__c","page_cached__c","page_versionTitle__c","page_publishDate__c","page_friendlyURL__c","page_pageType__c","page_velocityProcessing__c","page_sortIndex__c","page_attributes__c","page_title__c","page_wikiProcessing__c","page_parentUrl__c","page_keywords__c","page_contentType__c","page_commentsEnabled__c","page_modUserEmail__c","page_enableCkeditor__c","PageEntityidentifier__c","page_restful__c","page_structureTemplateId__c","page_endPublishDate__c","page_headHtml__c","page_state__c","page_createUserEmail__c","page_version__c","page_description__c","page_template__c","page_searchable__c","page_structureId__c"
"aAEG0000000KymrOAC","005A0000000p3ZeIAI","0","aAEG0000000Kymr","2014-04-15 06:53:14","005A0000000p3ZeIAI","2014-04-15 06:53:14","005A0000000p3ZeIAI","2014-04-15 06:53:14","0","Mon Aug 09 22:07:57 CEST 2010","Wed Jun 16 14:46:40 CEST 2010","1","New page","Wed Jun 16 02:00:00 CEST 2010","/blog","SIMPLE","0","4","","<Text: {""en"":""Blog""}>","0","/","<Text: >","","0","system@vosao.org","1","10","0","","","<Text: >","APPROVED","system@vosao.org","1","<Text: >","20001","1",""
"aAEG0000000KymsOAC","005A0000000p3ZeIAI","0","aAEG0000000Kyms","2014-04-15 06:53:14","005A0000000p3ZeIAI","2014-04-15 06:53:14","005A0000000p3ZeIAI","2014-04-15 06:53:14","0","Mon Aug 09 22:07:56 CEST 2010","Fri Jun 18 08:52:04 CEST 2010","1","New page","Wed Apr 07 02:00:00 CEST 2010","/blog/test-7","STRUCTURED","0","9","","<Text: {""en"":""Test 7""}>","0","/blog","<Text: >","","0","system@vosao.org","1","120014","0","130007","","<Text: >","APPROVED","system@vosao.org","1","<Text: >","20006","1","140005"
"aAEG0000000KymtOAC","005A0000000p3ZeIAI","0","aAEG0000000Kymt","2014-04-15 06:53:14","005A0000000p3ZeIAI","2014-04-15 06:53:14","005A0000000p3ZeIAI","2014-04-15 06:53:14","0","Fri Feb 11 22:17:02 CET 2011","Sun Jun 13 20:32:04 CEST 2010","0","CoolBlue Home","Sun Jun 13 02:00:00 CEST 2010","/","SIMPLE","1","0","","<Text: {""en"":""Home page""}>","0","","<Text: >","","0","kinyelo@gmail.com","0","100019","0","","","<Text: <script type=""text/javascript"">   $(function() {     $('#nav ul li:nth...>","APPROVED","system@vosao.org","2","<Text: >","20006","0","140005"
"aAEG0000000KymuOAC","005A0000000p3ZeIAI","0","aAEG0000000Kymu","2014-04-15 06:53:14","005A0000000p3ZeIAI","2014-04-15 06:53:14","005A0000000p3ZeIAI","2014-04-15 06:53:14","0","Sat Nov 27 12:31:19 CET 2010","Sat Aug 14 07:39:18 CEST 2010","1","New page","Sat Aug 14 07:39:00 CEST 2010","/blog/_default","STRUCTURED","0","0","","<Text: {en:""Children default settings""}>","0","/blog","<Text: >","","1","","1","90008","0","130007","","<Text: >","EDIT","system@vosao.org","1","<Text: >","20006","1","140005"
"aAEG0000000KymvOAC","005A0000000p3ZeIAI","0","aAEG0000000Kymv","2014-04-15 06:53:14","005A0000000p3ZeIAI","2014-04-15 06:53:14","005A0000000p3ZeIAI","2014-04-15 06:53:14","0","Mon Aug 09 22:07:57 CEST 2010","Sun Jun 13 21:29:38 CEST 2010","1","New page","Sun Jun 13 02:00:00 CEST 2010","/about","SIMPLE","1","3","","<Text: {""en"":""About""}>","0","/","<Text: >","","0","system@vosao.org","1","50011","0","","","<Text: <script type=""text/javascript"">   $(function() {     $('#nav ul li:nth...>","APPROVED","system@vosao.org","1","<Text: >","20006","1","140005"
"aAEG0000000KymwOAC","005A0000000p3ZeIAI","0","aAEG0000000Kymw","2014-04-15 06:53:14","005A0000000p3ZeIAI","2014-04-15 06:53:14","005A0000000p3ZeIAI","2014-04-15 06:53:14","0","Mon Aug 09 22:07:55 CEST 2010","Fri Jun 18 08:51:57 CEST 2010","1","New page","Tue Apr 06 02:00:00 CEST 2010","/blog/test-6","STRUCTURED","0","8","","<Text: {""en"":""Test 6""}>","0","/blog","<Text: >","","0","system@vosao.org","1","80013","0","130007","","<Text: >","APPROVED","system@vosao.org","1","<Text: >","20006","1","140005"
"aAEG0000000KymxOAC","005A0000000p3ZeIAI","0","aAEG0000000Kymx","2014-04-15 06:53:14","005A0000000p3ZeIAI","2014-04-15 06:53:14","005A0000000p3ZeIAI","2014-04-15 06:53:14","0","Mon Aug 09 22:07:56 CEST 2010","Sat Jun 19 11:25:05 CEST 2010","0","New page","Sat Jun 19 02:00:00 CEST 2010","/tags","SIMPLE","1","7","","<Text: {""en"":""Tags""}>","0","/","<Text: >","","0","system@vosao.org","1","70012","0","","","<Text: <script type=""text/javascript"">   $(function() {     $('#nav ul li:nth...>","APPROVED","system@vosao.org","1","<Text: >","20006","1","140005"
"aAEG0000000KymyOAC","005A0000000p3ZeIAI","0","aAEG0000000Kymy","2014-04-15 06:53:14","005A0000000p3ZeIAI","2014-04-15 06:53:14","005A0000000p3ZeIAI","2014-04-15 06:53:14","0","Fri Feb 11 22:18:19 CET 2011","Sun Jun 13 20:14:18 CEST 2010","1","New page","Sun Jun 13 02:00:00 CEST 2010","/login","SIMPLE","0","0","","<Text: {""en"":""Site user Login""}>","0","/","<Text: >","","0","kinyelo@gmail.com","0","20002","0","","","<Text: >","APPROVED","system@vosao.org","1","<Text: >","20001","0","140005"
"aAEG0000000KymzOAC","005A0000000p3ZeIAI","0","aAEG0000000Kymz","2014-04-15 06:53:14","005A0000000p3ZeIAI","2014-04-15 06:53:14","005A0000000p3ZeIAI","2014-04-15 06:53:14","0","Mon Aug 09 22:07:55 CEST 2010","Fri Jun 18 08:52:12 CEST 2010","1","New page","Thu Apr 08 02:00:00 CEST 2010","/blog/test-8","STRUCTURED","0","10","","<Text: {""en"":""Test 8""}>","0","/blog","<Text: >","","0","system@vosao.org","1","50008","0","130007","","<Text: >","APPROVED","system@vosao.org","1","<Text: >","20006","1","140005"
"aAEG0000000Kyn0OAC","005A0000000p3ZeIAI","0","aAEG0000000Kyn0","2014-04-15 06:53:14","005A0000000p3ZeIAI","2014-04-15 06:53:14","005A0000000p3ZeIAI","2014-04-15 06:53:14","0","Mon Aug 09 22:07:57 CEST 2010","Fri Jun 18 08:52:20 CEST 2010","1","New page","Fri Apr 09 02:00:00 CEST 2010","/blog/test-9","STRUCTURED","0","11","","<Text: {""en"":""Test 9""}>","0","/blog","<Text: >","","0","system@vosao.org","1","80012","0","130007","","<Text: >","APPROVED","system@vosao.org","1","<Text: >","20006","1","140005"
