parentUrl,searchable,keywords,commentsEnabled,sortIndex,versionTitle,friendlyURL,title,createDate,velocityProcessing,state,version,template,modDate,skipPostProcessing,structureTemplateId,contentType,description,createUserEmail,structureId,publishDate,key,pageType,wikiProcessing,cached,headHtml,enableCkeditor,attributes,modUserEmail,restful
/,True,,False,4,New page,/blog,"{""en"":""Blog""}",2010-06-16T12:46:40,False,APPROVED,1,20001,2010-08-09T20:07:57,False,,,,system@vosao.org,,2010-06-16T00:00:00,10,SIMPLE,False,True,,True,,system@vosao.org,False
/,True,,False,6,New page,/support,"{""en"":""Support""}",2010-06-17T09:10:59,False,APPROVED,1,20006,2010-08-09T20:07:56,False,,,,system@vosao.org,140005,2010-06-17T00:00:00,10014,SIMPLE,False,True,"<script type=""text/javascript"">
  $(function() {
    $('#nav ul li:nth(3)').attr('id', 'current');
  });
</script>",True,,system@vosao.org,False
/,False,,False,0,New page,/login,"{""en"":""Site user Login""}",2010-06-13T18:14:18,False,APPROVED,1,20001,2011-02-11T21:18:19,False,,,,system@vosao.org,140005,2010-06-13T00:00:00,20002,SIMPLE,False,True,,False,,kinyelo@gmail.com,False
/,False,,False,5,New page,/archives,"{""en"":""Archives""}",2010-06-17T09:01:13,True,APPROVED,1,20006,2010-08-09T20:07:55,False,,,,system@vosao.org,140005,2010-06-17T00:00:00,20010,SIMPLE,False,False,"<script type=""text/javascript"">
  $(function() {
    $('#nav ul li:nth(2)').attr('id', 'current');
  });
</script>",True,,system@vosao.org,False
,True,,False,0,New page,/,"{""en"":""Home page""}",2010-06-13T18:14:18,False,APPROVED,1,20001,2010-08-09T20:07:55,False,,,,system@vosao.org,,2010-06-13T00:00:00,30002,SIMPLE,False,True,,True,,system@vosao.org,False
/,True,,False,1,New page,/search,"{en:""Search""}",2010-06-13T18:14:18,False,APPROVED,1,20006,2011-02-11T21:59:48,False,,,,system@vosao.org,140005,2010-06-13T00:00:00,40002,SIMPLE,False,True,,False,,kinyelo@gmail.com,False
/blog,True,,True,1,New page,/blog/aliquam-risus-justo,"{""en"":""Deploying on AppSpot.com""}",2010-06-16T12:51:34,False,APPROVED,1,20006,2010-08-09T20:07:56,False,130007,,,system@vosao.org,140005,2010-06-01T00:00:00,40011,STRUCTURED,False,True,,True,,system@vosao.org,False
/blog,True,,True,0,New page,/blog/lorem-ipsum-dolor-sit-amet,"{""en"":""First steps""}",2010-06-16T12:47:22,False,APPROVED,1,20006,2010-08-09T20:07:58,False,130007,,,system@vosao.org,140005,2010-05-01T00:00:00,40013,STRUCTURED,False,True,,True,,system@vosao.org,False
/blog,True,,False,10,New page,/blog/test-8,"{""en"":""Test 8""}",2010-06-18T06:52:12,False,APPROVED,1,20006,2010-08-09T20:07:55,False,130007,,,system@vosao.org,140005,2010-04-08T00:00:00,50008,STRUCTURED,False,True,,True,,system@vosao.org,False
/blog,True,,False,7,New page,/blog/test-5,"{""en"":""Test 5""}",2010-06-18T06:51:50,False,APPROVED,1,20006,2010-08-09T20:07:57,False,130007,,,system@vosao.org,140005,2010-04-05T00:00:00,50009,STRUCTURED,False,True,,True,,system@vosao.org,False
/blog,True,,False,4,New page,/blog/test-2,"{""en"":""Test 2""}",2010-06-18T06:51:30,False,APPROVED,1,20006,2010-08-09T20:07:56,False,130007,,,system@vosao.org,140005,2010-04-02T00:00:00,50010,STRUCTURED,False,True,,True,,system@vosao.org,False
/,True,,False,3,New page,/about,"{""en"":""About""}",2010-06-13T19:29:38,True,APPROVED,1,20006,2010-08-09T20:07:57,False,,,,system@vosao.org,140005,2010-06-13T00:00:00,50011,SIMPLE,False,True,"<script type=""text/javascript"">
  $(function() {
    $('#nav ul li:nth(4)').attr('id', 'current');
  });
</script>",True,,system@vosao.org,False
