identifier,pagetag_createUserEmail,pagetag_modDate,pagetag_createDate,pagetag_tags,pagetag_pageURL,pagetag_modUserEmail
100014,system@vosao.org,Thu Mar 13 09:32:54 CET 2014,Thu Mar 13 09:32:54 CET 2014,[130008],/blog/test-10,
100015,system@vosao.org,Thu Mar 13 09:32:55 CET 2014,Thu Mar 13 09:32:55 CET 2014,[130008],/blog/test-7,
100016,system@vosao.org,Thu Mar 13 09:32:56 CET 2014,Thu Mar 13 09:32:56 CET 2014,[130008],/blog/test-4,
100017,system@vosao.org,Thu Mar 13 09:32:57 CET 2014,Thu Mar 13 09:32:57 CET 2014,[130008],/blog/test--1,
20007,system@vosao.org,Thu Mar 13 09:32:55 CET 2014,Thu Mar 13 09:32:55 CET 2014,[130008],/blog/test-9,
20008,system@vosao.org,Thu Mar 13 09:32:56 CET 2014,Thu Mar 13 09:32:56 CET 2014,[130008],/blog/test-6,
20009,system@vosao.org,Thu Mar 13 09:32:57 CET 2014,Thu Mar 13 09:32:57 CET 2014,[130008],/blog/test-3,
40012,system@vosao.org,Thu Mar 13 09:32:53 CET 2014,Thu Mar 13 09:32:53 CET 2014,[140006, 40010],/blog/congratulations,
80010,system@vosao.org,Thu Mar 13 09:32:52 CET 2014,Thu Mar 13 09:32:52 CET 2014,[140006, 120010, 40010, 130008],/blog/aliquam-risus-justo,
80011,system@vosao.org,Thu Mar 13 09:32:53 CET 2014,Thu Mar 13 09:32:53 CET 2014,[140006, 120010],/blog/lorem-ipsum-dolor-sit-amet,
90009,system@vosao.org,Thu Mar 13 09:32:55 CET 2014,Thu Mar 13 09:32:55 CET 2014,[130008],/blog/test-8,
90010,system@vosao.org,Thu Mar 13 09:32:56 CET 2014,Thu Mar 13 09:32:56 CET 2014,[130008],/blog/test-5,
90011,system@vosao.org,Thu Mar 13 09:32:57 CET 2014,Thu Mar 13 09:32:57 CET 2014,[130008],/blog/test-2,
