"Id","OwnerId","IsDeleted","Name","CreatedDate","CreatedById","LastModifiedDate","LastModifiedById","SystemModstamp","file_size__c","file_mimeType__c","file_modUserEmail__c","file_lastModifiedTime__c","file_createDate__c","file_modDate__c","file_folderId__c","FileEntityidentifier__c","file_filename__c","file_title__c","file_createUserEmail__c"
"aABG0000000GmanOAC","005A0000000p3ZeIAI","0","aABG0000000Gman","2014-04-15 06:53:11","005A0000000p3ZeIAI","2014-04-15 06:53:11","005A0000000p3ZeIAI","2014-04-15 06:53:11","994","image/gif","system@vosao.org","Thu Mar 13 09:32:44 CET 2014","Thu Mar 13 09:32:44 CET 2014","Thu Mar 13 09:32:44 CET 2014","120002","5","tag.gif","tag.gif","system@vosao.org"
"aABG0000000GmaoOAC","005A0000000p3ZeIAI","0","aABG0000000Gmao","2014-04-15 06:53:11","005A0000000p3ZeIAI","2014-04-15 06:53:11","005A0000000p3ZeIAI","2014-04-15 06:53:11","981","image/png","system@vosao.org","Thu Mar 13 09:32:44 CET 2014","Thu Mar 13 09:32:44 CET 2014","Thu Mar 13 09:32:44 CET 2014","120002","30004","newsvine_32.png","newsvine_32.png","system@vosao.org"
"aABG0000000GmapOAC","005A0000000p3ZeIAI","0","aABG0000000Gmap","2014-04-15 06:53:11","005A0000000p3ZeIAI","2014-04-15 06:53:11","005A0000000p3ZeIAI","2014-04-15 06:53:11","19765","text/css","system@vosao.org","Thu Mar 13 09:32:42 CET 2014","Thu Mar 13 09:32:42 CET 2014","Thu Mar 13 09:32:42 CET 2014","80002","40003","coolblue.css","coolblue.css","system@vosao.org"
"aABG0000000GmaqOAC","005A0000000p3ZeIAI","0","aABG0000000Gmaq","2014-04-15 06:53:11","005A0000000p3ZeIAI","2014-04-15 06:53:11","005A0000000p3ZeIAI","2014-04-15 06:53:11","350","image/jpeg","system@vosao.org","Thu Mar 13 09:32:48 CET 2014","Thu Mar 13 09:32:48 CET 2014","Thu Mar 13 09:32:48 CET 2014","120002","120007","thumb.jpg","thumb.jpg","system@vosao.org"
"aABG0000000GmarOAC","005A0000000p3ZeIAI","0","aABG0000000Gmar","2014-04-15 06:53:11","005A0000000p3ZeIAI","2014-04-15 06:53:11","005A0000000p3ZeIAI","2014-04-15 06:53:11","33960","image/jpeg","system@vosao.org","Thu Mar 13 09:32:54 CET 2014","Thu Mar 13 09:32:54 CET 2014","Thu Mar 13 09:32:54 CET 2014","120012","60009","grass.jpg","grass.jpg","system@vosao.org"
"aABG0000000GmasOAC","005A0000000p3ZeIAI","0","aABG0000000Gmas","2014-04-15 06:53:11","005A0000000p3ZeIAI","2014-04-15 06:53:11","005A0000000p3ZeIAI","2014-04-15 06:53:11","1243","image/png","system@vosao.org","Thu Mar 13 09:32:46 CET 2014","Thu Mar 13 09:32:46 CET 2014","Thu Mar 13 09:32:46 CET 2014","120002","30006","technorati_32.png","technorati_32.png","system@vosao.org"
"aABG0000000GmatOAC","005A0000000p3ZeIAI","0","aABG0000000Gmat","2014-04-15 06:53:11","005A0000000p3ZeIAI","2014-04-15 06:53:11","005A0000000p3ZeIAI","2014-04-15 06:53:11","197","text/css","system@vosao.org","Thu Mar 13 09:32:42 CET 2014","Thu Mar 13 09:32:42 CET 2014","Thu Mar 13 09:32:42 CET 2014","80002","10003","screen.css","screen.css","system@vosao.org"
"aABG0000000GmauOAC","005A0000000p3ZeIAI","0","aABG0000000Gmau","2014-04-15 06:53:11","005A0000000p3ZeIAI","2014-04-15 06:53:11","005A0000000p3ZeIAI","2014-04-15 06:53:11","109","image/gif","system@vosao.org","Thu Mar 13 09:32:48 CET 2014","Thu Mar 13 09:32:48 CET 2014","Thu Mar 13 09:32:48 CET 2014","120002","40009","content.gif","content.gif","system@vosao.org"
"aABG0000000GmavOAC","005A0000000p3ZeIAI","0","aABG0000000Gmav","2014-04-15 06:53:11","005A0000000p3ZeIAI","2014-04-15 06:53:11","005A0000000p3ZeIAI","2014-04-15 06:53:11","996","text/css","system@vosao.org","Thu Mar 13 09:32:41 CET 2014","Thu Mar 13 09:32:41 CET 2014","Thu Mar 13 09:32:41 CET 2014","80002","120001","reset.css","reset.css","system@vosao.org"
"aABG0000000GmawOAC","005A0000000p3ZeIAI","0","aABG0000000Gmaw","2014-04-15 06:53:11","005A0000000p3ZeIAI","2014-04-15 06:53:11","005A0000000p3ZeIAI","2014-04-15 06:53:11","93","image/gif","system@vosao.org","Thu Mar 13 09:32:44 CET 2014","Thu Mar 13 09:32:44 CET 2014","Thu Mar 13 09:32:44 CET 2014","120002","80004","document.gif","document.gif","system@vosao.org"
